ID,Nick,Name,Total (year),Total (Game),% of Game,Total (Overall),% of Overall
1.,Ethan,Ethan Arnold,"$248,666.67","$288,266.67",86.26%,"$688,647.05",36.11%
2.,jawgemo,Alexander Mor,"$248,666.67","$258,906.67",96.04%,"$258,960.24",96.03%
3.,Boostio,Kelden Pupello,"$248,666.67","$253,136.67",98.23%,"$256,677.50",96.88%
4.,C0M,Corbin Lee,"$248,666.67","$252,366.67",98.53%,"$254,613.34",97.66%
5.,Demon1,Max Mazanov,"$246,666.67","$246,666.67",100.00%,"$246,715.92",99.98%
6.,Chronicle,Timofey Khromov,"$129,000.00","$238,571.66",54.07%,"$238,571.66",54.07%
7.,Derke,Nikita Sirmitev,"$129,000.00","$211,482.66",61.00%,"$225,446.18",57.22%
8.,Boaster,Jake Howlett,"$129,000.00","$214,422.02",60.16%,"$224,652.10",57.42%
9.,Alfajer,Emir Beder,"$129,000.00","$167,256.74",77.13%,"$167,256.74",77.13%
10.,Leo,Leo Jannesson,"$129,000.00","$158,501.92",81.39%,"$160,956.32",80.15%
11.,d4v41,Khalish Rusyaidee,"$120,285.71","$196,729.44",61.14%,"$207,920.95",57.85%
12.,f0rsakeN,Jason Susanto,"$120,285.71","$196,729.44",61.14%,"$200,042.99",60.13%
13.,mindfreak,Aaron Leonhart,"$120,285.71","$196,729.44",61.14%,"$199,558.42",60.28%
14.,Jinggg,"Wang, Jing Jie","$120,285.71","$190,316.93",63.20%,"$190,488.36",63.15%
15.,something,Ilya Petrov,"$94,893.71","$94,967.68",99.92%,"$94,967.68",99.92%
16.,saadhak,Matias Delipetro,"$89,000.00","$207,560.37",42.88%,"$217,360.37",40.95%
17.,aspas,Erick Santos,"$89,000.00","$184,219.29",48.31%,"$184,219.29",48.31%
18.,Less,Felipe Basso,"$89,000.00","$183,868.71",48.40%,"$183,868.71",48.40%
19.,cauanzin,Cauan Pereira,"$89,000.00","$98,770.48",90.11%,"$98,770.48",90.11%
20.,tuyz,Arthur Vieira,"$89,000.00","$93,960.29",94.72%,"$93,960.29",94.72%
21.,stax,"Kim, Gu-taek","$42,833.33","$135,232.02",31.67%,"$158,324.33",27.05%
22.,Rb,"Goo, Sang-min","$42,833.33","$140,378.62",30.51%,"$141,532.84",30.26%
23.,Zest,"Kim, Gi-Seok","$42,833.33","$120,673.12",35.50%,"$126,724.40",33.80%
24.,BuZz,"Yu, Byung-chul","$42,833.33","$111,561.50",38.39%,"$111,561.50",38.39%
25.,MaKo,"Kim, Myeong-kwan","$42,833.33","$107,355.94",39.90%,"$107,355.94",39.90%
26.,CigaretteS,Patiphan Posri,"$39,285.71","$39,385.71",99.75%,"$65,952.87",59.57%
27.,FNS,Pujan Mehta,"$39,000.00","$189,760.00",20.55%,"$315,763.90",12.35%
28.,Victor,Victor Wong,"$39,000.00","$191,650.00",20.35%,"$268,580.33",14.52%
29.,crashies,Austin Roberts,"$39,000.00","$192,650.00",20.24%,"$231,054.05",16.88%
30.,ardiis,Ardis Svarenieks,"$39,000.00","$143,028.82",27.27%,"$147,839.57",26.38%
31.,s0m,Sam Oh,"$39,000.00","$48,450.00",80.50%,"$104,546.43",37.30%
32.,nAts,Ayaz Akhmetshin,"$35,000.00","$144,809.77",24.17%,"$146,823.68",23.84%
33.,Jamppi,Elias Olkkonen,"$35,000.00","$105,243.57",33.26%,"$142,310.80",24.59%
34.,Redgar,Igor Vlasov,"$35,000.00","$141,756.23",24.69%,"$141,756.23",24.69%
35.,soulcas,Dom Sulcas,"$35,000.00","$119,427.83",29.31%,"$128,018.00",27.34%
36.,Sayf,Saif Jibraeel,"$35,000.00","$63,685.18",54.96%,"$80,829.38",43.30%
37.,nobody,"Wang, Senxu","$28,000.00","$32,364.56",86.51%,"$32,364.56",86.51%
38.,CHICHOO,"Wan, Shunzhi","$28,000.00","$31,119.88",89.97%,"$31,119.88",89.97%
39.,Haodong,"Guo, Haodong","$28,000.00","$31,119.88",89.97%,"$31,119.88",89.97%
40.,ZmjjKK,"Zheng, Yong Kang","$28,000.00","$31,058.48",90.15%,"$31,058.48",90.15%
41.,Smoggy,"Zhang, Zhao","$28,000.00","$30,500.00",91.80%,"$30,500.00",91.80%
42.,MOJJ,Bugra Kiraz,"$25,000.00","$53,178.28",47.01%,"$58,699.84",42.59%
43.,qRaxs,Doğukan Balaban,"$25,000.00","$49,546.16",50.46%,"$51,323.34",48.71%
44.,qw1,Konur Şahin,"$25,000.00","$41,005.80",60.97%,"$41,005.80",60.97%
45.,MrFaliN,Furkan Yeğen,"$25,000.00","$38,444.79",65.03%,"$38,444.79",65.03%
46.,AtaKaptan,Ata Tan,"$25,000.00","$27,297.46",91.58%,"$27,297.46",91.58%
47.,ANGE1,Kyrylo Karasov,"$22,000.00","$116,458.56",18.89%,"$302,285.02",7.28%
48.,Zyppaan,Pontus Eek,"$22,000.00","$115,912.76",18.98%,"$184,156.74",11.95%
49.,cned,Mehmet Yağız İpek,"$22,000.00","$137,200.46",16.03%,"$137,350.46",16.02%
50.,Shao,Andrey Kiprsky,"$22,000.00","$116,444.27",18.89%,"$116,444.27",18.89%
51.,SUYGETSU,Dmitry Ilyushin,"$22,000.00","$110,315.79",19.94%,"$110,315.79",19.94%
52.,Carpe,"Lee, Jae-hyeok","$18,666.67","$18,666.67",100.00%,"$145,911.80",12.79%
53.,xeta,"Son, Seon-ho","$18,666.67","$49,238.67",37.91%,"$85,799.22",21.76%
54.,Munchkin,"Byeon, Sang-beom","$18,666.67","$40,797.45",45.75%,"$64,172.86",29.09%
55.,Sayaplayer,"Ha, Jung-woo","$18,666.67","$36,266.67",51.47%,"$56,722.63",32.91%
56.,ban,Joseph Seungmin Oh,"$18,666.67","$24,316.67",76.76%,"$24,316.67",76.76%
57.,Benkai,Benedict Tan,"$15,285.71","$91,729.44",16.66%,"$132,407.85",11.54%
58.,Foxy9,"Jung, Jae sung","$10,833.33","$13,115.37",82.60%,"$13,115.37",82.60%
59.,Estrella,"Gun, Park","$10,056.20","$11,915.16",84.40%,"$11,915.16",84.40%
60.,nukkye,Žygimantas Chmieliauskas,"$10,000.00","$70,248.72",14.24%,"$126,896.55",7.88%
61.,Hoody,Aaro Peltokangas,"$10,000.00","$37,535.57",26.64%,"$103,076.96",9.70%
62.,Cloud,Kirill Nehozhin,"$10,000.00","$24,156.85",41.40%,"$41,986.85",23.82%
63.,rhyme,Emir Muminovic,"$10,000.00","$24,016.92",41.64%,"$24,016.92",41.64%
64.,Fitinho,Adolfo Gallego,"$10,000.00","$21,825.29",45.82%,"$21,896.72",45.67%
65.,yosemite,"Lei, Wang","$10,000.00","$10,216.96",97.88%,"$11,337.67",88.20%
66.,biank,"Zhong, Jianfei","$10,000.00","$10,292.68",97.16%,"$11,150.68",89.68%
67.,whz,"Wang, Haozhe","$10,000.00","$11,084.79",90.21%,"$11,084.79",90.21%
68.,rin,"Li, Lewei","$10,000.00","$10,356.22",96.56%,"$10,356.22",96.56%
69.,Knight,"Liu, Yuxiang","$10,000.00","$10,216.96",97.88%,"$10,216.96",97.88%
70.,antidote,Sabyasachi Bose,"$9,933.33","$19,788.89",50.20%,"$28,696.26",34.62%
71.,Rawfiul,Akram Virani,"$9,933.33","$22,949.16",43.28%,"$22,949.16",43.28%
72.,RvK,Rishi Vijayakumar,"$9,933.33","$20,272.79",49.00%,"$22,340.69",44.46%
73.,azys,Azis Nandang,"$9,933.33","$14,951.22",66.44%,"$15,851.22",62.67%
74.,Tesseract,Jm Ignacio,"$9,933.33","$14,273.34",69.59%,"$14,273.34",69.59%
75.,Wailers,Wailers Locart,"$9,730.54","$9,730.54",100.00%,"$64,578.38",15.07%
76.,logaN,Logan Corti,"$9,730.54","$21,265.42",45.76%,"$56,902.59",17.10%
77.,TakaS,Jonathan Paupard,"$9,730.54","$20,507.62",47.45%,"$20,507.62",47.45%
78.,beyAz,Beyazıt Körpe,"$9,730.54","$13,478.49",72.19%,"$19,025.20",51.15%
79.,nataNk,Nathan Bocqueho,"$9,730.54","$17,499.98",55.60%,"$17,499.98",55.60%
80.,valyn,Jacob Batio,"$8,800.00","$28,430.00",30.95%,"$30,930.00",28.45%
81.,JonahP,Jonah Pulice,"$8,800.00","$27,625.00",31.86%,"$30,919.00",28.46%
82.,neT,Michael Bernet,"$8,800.00","$30,450.00",28.90%,"$30,450.00",28.90%
83.,tex,Ian Botsch,"$8,800.00","$19,350.00",45.48%,"$30,160.00",29.18%
84.,trent,Trent Cairns,"$8,800.00","$25,700.00",34.24%,"$25,700.00",34.24%
85.,BcJ,Brendan Jensen,"$8,666.67","$55,146.67",15.72%,"$76,123.68",11.38%
86.,pancc,Fillipe Martins,"$8,613.00","$9,460.96",91.04%,"$30,790.52",27.97%
87.,raafa,Rafael Lima,"$8,613.00","$9,089.77",94.75%,"$22,475.01",38.32%
88.,ntk,Lucas Martins,"$8,613.00","$16,094.88",53.51%,"$16,221.83",53.10%
89.,GuhRVN,Gustavo Ferreira,"$8,613.00","$8,753.00",98.40%,"$12,619.67",68.25%
90.,Lakia,"Kim, Jong Min","$8,525.00","$47,977.21",17.77%,"$54,196.35",15.73%
91.,allow,"Park, Sang Wook","$8,525.00","$36,656.25",23.26%,"$37,046.28",23.01%
92.,Esperanza,Jeong Jin-cheol,"$8,525.00","$27,231.36",31.31%,"$27,231.36",31.31%
93.,crazyguy,"Ngô, Công Anh","$8,250.87","$23,822.59",34.63%,"$29,989.03",27.51%
94.,nephh,Marcus Tan,"$8,094.03","$10,989.82",73.65%,"$20,849.82",38.82%
95.,OuTLaW,Abdullah Al-Salem,"$8,059.97","$27,048.13",29.80%,"$29,573.13",27.25%
96.,Moh,Mohammed Bin Oti,"$8,059.97","$25,348.13",31.80%,"$25,348.13",31.80%
97.,KHaaLiD,Khalid Al-Talib,"$8,059.97","$14,223.97",56.66%,"$14,223.97",56.66%
98.,Mazino,Roberto Rivas Bugueño,"$8,000.00","$63,852.64",12.53%,"$63,852.64",12.53%
99.,alexis,Alexis Guarrasi,"$8,000.00","$47,300.00",16.91%,"$47,300.00",16.91%
100.,meL,Melanie Capone,"$8,000.00","$47,300.00",16.91%,"$47,300.00",16.91%
101.,Tacolilla,Vicente Compagnon,"$8,000.00","$42,313.52",18.91%,"$42,313.52",18.91%
102.,kiNgg,Francisco Aravena,"$8,000.00","$42,113.52",19.00%,"$42,163.52",18.97%
103.,Nozwerr,Agustin Ibarra,"$8,000.00","$33,448.94",23.92%,"$33,908.94",23.59%
104.,Shyy,Fabian Usnayo,"$8,000.00","$30,399.30",26.32%,"$30,399.30",26.32%
105.,mizu,Gabriel González,"$8,000.00","$12,530.19",63.85%,"$12,530.19",63.85%
106.,deigara,Gonzalo Funes,"$8,000.00","$11,980.19",66.78%,"$11,980.19",66.78%
107.,florescent,Ava Eugene,"$8,000.00","$10,600.00",75.47%,"$10,600.00",75.47%
108.,Noia,Nicole Tierce,"$8,000.00","$10,479.63",76.34%,"$10,479.63",76.34%
109.,Tuli,Giulliano Massone,"$8,000.00","$10,080.19",79.36%,"$10,080.19",79.36%
110.,Sarah,Sarah Simpson,"$8,000.00","$9,700.00",82.47%,"$9,700.00",82.47%
111.,david,David Olivares,"$8,000.00","$9,510.19",84.12%,"$9,510.19",84.12%
112.,rubkkoide,Facundo Chavez,"$8,000.00","$9,010.19",88.79%,"$9,010.19",88.79%
113.,spy,Abed Doughan,"$7,793.31","$25,021.46",31.15%,"$29,184.64",26.70%
114.,Mistic,James Orfila,"$7,487.00","$92,659.02",8.08%,"$92,659.02",8.08%
115.,Enzo,Enzo Mestari,"$7,487.00","$55,951.61",13.38%,"$60,009.25",12.48%
116.,MAGNUMEKK,Martin Peňkov,"$7,487.00","$51,745.79",14.47%,"$51,745.79",14.47%
117.,Shadow,Tobias Flodström,"$7,487.00","$30,196.11",24.79%,"$36,000.54",20.80%
118.,Keiko,Georgio Sanassy,"$7,487.00","$9,329.86",80.25%,"$9,329.86",80.25%
119.,sScary,Nutchaphon Matarat,"$7,214.03","$59,846.61",12.05%,"$59,846.61",12.05%
120.,Deryeon,Derrick Yee Dong Ting,"$7,214.03","$25,514.24",28.27%,"$25,544.24",28.24%
121.,juicy,Tyler James Aeria,"$7,214.03","$20,248.88",35.63%,"$20,248.88",35.63%
122.,Xeppaa,Erick Bach,"$7,000.00","$33,400.00",20.96%,"$85,950.00",8.14%
123.,Laz,"Ushida, Koji","$7,000.00","$61,247.49",11.43%,"$80,090.88",8.74%
124.,leaf,Nathan Orf,"$7,000.00","$41,500.00",16.87%,"$79,785.76",8.77%
125.,crow,"Maruoka, Tomoaki","$7,000.00","$57,594.62",12.15%,"$76,579.92",9.14%
126.,Zellsis,Jordan Montemurro,"$7,000.00","$28,850.00",24.26%,"$70,502.90",9.93%
127.,Dep,"Hisamoto, Yuma","$7,000.00","$35,601.08",19.66%,"$46,972.59",14.90%
128.,TENNN,"Asai, Tenta","$7,000.00","$33,382.48",20.97%,"$34,925.34",20.04%
129.,SugarZ3ro,"Watanabe, Shota","$7,000.00","$32,231.34",21.72%,"$32,231.34",21.72%
130.,TORANECO,Jusei Saito,"$6,998.00","$9,855.56",71.01%,"$9,855.56",71.01%
131.,Jemkin,Maksim Batorov,"$6,998.00","$9,754.01",71.74%,"$9,754.01",71.74%
132.,Kr1stal,Savva Fedorov,"$6,998.00","$9,671.97",72.35%,"$9,671.97",72.35%
133.,Yoshiii,John Kawakami,"$6,998.00","$7,098.00",98.59%,"$7,098.00",98.59%
134.,iNTRO,"Kang, Seung-gyun","$6,666.67","$14,134.95",47.16%,"$15,259.92",43.69%
135.,baddyG,Kamil Graniczka,"$6,584.87","$17,528.48",37.57%,"$17,528.48",37.57%
136.,Br0die,Jack Emmott,"$6,584.87","$10,697.89",61.55%,"$14,052.67",46.86%
137.,MONSTEERR,Ondřej Petrů,"$6,584.87","$12,328.92",53.41%,"$12,328.92",53.41%
138.,ALIVE,Gilad Hakim,"$6,584.87","$10,863.81",60.61%,"$10,863.81",60.61%
139.,musashi,Alessio Xhaferi,"$6,584.87","$9,434.91",69.79%,"$9,434.91",69.79%
140.,stew,"Park, Young Chan","$6,547.80","$6,547.80",100.00%,"$6,547.80",100.00%
141.,alvar,Khaled Abdullah Mahmoud,"$6,459.97","$23,438.13",27.56%,"$23,588.13",27.39%
142.,witz,Riley Go,"$6,301.99","$25,996.25",24.24%,"$35,748.98",17.63%
143.,Papichulo,Deko Evangelista,"$6,301.99","$11,319.88",55.67%,"$21,933.73",28.73%
144.,JA,Johnty Arone,"$6,301.99","$11,319.88",55.67%,"$13,182.75",47.80%
145.,Mojer,Jerome Literal,"$6,301.99","$6,582.75",95.73%,"$6,582.75",95.73%
146.,Zander,Alexander Dituri,"$6,200.00","$15,690.00",39.52%,"$15,690.00",39.52%
147.,eeiu,Daniel Vucenovic,"$6,200.00","$15,450.00",40.13%,"$15,450.00",40.13%
148.,NiSMO,Marc-Andre Tayar,"$6,200.00","$8,620.00",71.93%,"$10,929.44",56.73%
149.,Koalanoob,GianFranco Potestio,"$6,200.00","$10,890.00",56.93%,"$10,890.00",56.93%
150.,johnqt,Mouhamed Amine Ouarid,"$6,200.00","$8,520.00",72.77%,"$10,630.33",58.32%
151.,Depyro,Nour Sherif,"$6,124.18","$13,590.18",45.06%,"$13,590.18",45.06%
152.,Sand,Mark Emad,"$6,124.18","$13,590.18",45.06%,"$13,590.18",45.06%
153.,Shniider,Yousef Osama,"$6,124.18","$13,590.18",45.06%,"$13,590.18",45.06%
154.,Ali,Ali Salahedin,"$6,100.00","$10,945.07",55.73%,"$10,945.07",55.73%
155.,benjii,Benjamin Park,"$6,100.00","$10,945.07",55.73%,"$10,945.07",55.73%
156.,Dark3st,- -,"$6,100.00","$10,945.07",55.73%,"$10,945.07",55.73%
157.,furbsa,Hunter Mcmillan,"$6,100.00","$10,345.07",58.97%,"$10,345.07",58.97%
158.,jfoeN,Jesus Taboada,"$6,000.00","$16,596.22",36.15%,"$28,435.55",21.10%
159.,Mited,Luis Gutierrez Baena,"$6,000.00","$13,579.33",44.18%,"$13,579.33",44.18%
160.,BandiCoot,Michael Mancipe,"$6,000.00","$12,929.33",46.41%,"$12,929.33",46.41%
161.,Feniz,Thomas Molina,"$6,000.00","$11,480.00",52.26%,"$11,480.00",52.26%
162.,Theory,Daniel Albadan Cardozo,"$6,000.00","$8,150.00",73.62%,"$8,150.00",73.62%
163.,Jow,Juan Camilo Preciado Ordoñez,"$6,000.00","$7,600.00",78.95%,"$7,600.00",78.95%
164.,Fresht,Juan Preciado,"$6,000.00","$6,250.00",96.00%,"$7,250.00",82.76%
165.,Darker,Sebastián Cicuamia,"$6,000.00","$6,980.00",85.96%,"$6,980.00",85.96%
166.,Virtyyyy,Leandro Moreno,"$6,000.00","$6,350.00",94.49%,"$6,350.00",94.49%
167.,edu,Edgar Ovalle,"$6,000.00","$6,000.00",100.00%,"$6,000.00",100.00%
168.,Minimise,Jackson White,"$5,946.40","$8,649.79",68.75%,"$8,649.79",68.75%
169.,WAT,Lewis Watson,"$5,946.40","$6,799.14",87.46%,"$6,972.11",85.29%
170.,YESican,"Đinh, Đình Đạt","$5,930.00","$15,269.10",38.84%,"$16,275.46",36.44%
171.,f1cio,"Hoàng, Ngọc Sơn","$5,930.00","$11,865.60",49.98%,"$11,865.60",49.98%
172.,Nizzy,"Nguyễn, Tấn Thành","$5,930.00","$11,596.19",51.14%,"$11,692.00",50.72%
173.,Gin,"Phan, Văn Gin","$5,930.00","$7,807.55",75.95%,"$7,807.55",75.95%
174.,LeVi,Rajiv Satpute,"$5,833.33","$5,845.33",99.79%,"$5,845.33",99.79%
175.,jakee,Jake Anderson,"$5,600.00","$5,800.00",96.55%,"$5,800.00",96.55%
176.,Kugio,Hamad Al-Thani,"$5,557.50","$6,857.50",81.04%,"$7,857.50",70.73%
177.,Zimo,Abdullah Al Amri,"$5,557.50","$5,557.50",100.00%,"$5,557.50",100.00%
178.,TTyke,Yosef Abdullah,"$5,521.67","$8,080.59",68.33%,"$9,676.24",57.06%
179.,famouz,Fikri Zaki,"$5,500.00","$15,662.66",35.12%,"$16,092.66",34.18%
180.,dip,Branden Dippel,"$5,500.00","$10,395.07",52.91%,"$10,395.07",52.91%
181.,Akai,Saif Alnuaimi,"$5,465.00","$5,465.00",100.00%,"$6,565.00",83.24%
182.,JinboongE,"Kim, Jin-won","$5,363.40","$8,734.27",61.41%,"$8,734.27",61.41%
183.,k1Ng,"Lee, Seung Won","$5,166.67","$51,490.69",10.03%,"$53,429.98",9.67%
184.,Fr4nky,Ibrahim Al-Rubaian,"$5,166.67","$22,454.83",23.01%,"$22,454.83",23.01%
185.,TS,"Yu, Tae-seok","$5,166.67","$18,335.07",28.18%,"$18,335.07",28.18%
186.,eKo,"Yeom, Wang-ryong","$5,166.67","$15,407.99",33.53%,"$15,407.99",33.53%
187.,Meteor,"Kim, Tae-O","$5,166.67","$12,039.09",42.92%,"$12,039.09",42.92%
188.,rDeeW,Riley Wilkinson,"$5,088.40","$11,460.00",44.40%,"$11,460.00",44.40%
189.,dragoN,Nicholas Aleksandrovsky,"$5,088.40","$7,550.53",67.39%,"$7,550.53",67.39%
190.,Asuna,Peter Mazuryk,"$5,000.00","$70,920.00",7.05%,"$73,766.00",6.78%
191.,NagZ,Juan Pablo Lopez Miranda,"$5,000.00","$64,616.67",7.74%,"$64,676.67",7.73%
192.,foxz,Itthirit Ngamsaard,"$5,000.00","$48,258.88",10.36%,"$61,263.13",8.16%
193.,Cryocells,Matthew Panganiban,"$5,000.00","$49,960.00",10.01%,"$49,960.00",10.01%
194.,Crws,Thanamethk Mahatthananuyut,"$5,000.00","$48,338.74",10.34%,"$49,231.76",10.16%
195.,sushiboys,Panyawat Subsiriroj,"$5,000.00","$48,313.37",10.35%,"$48,313.37",10.35%
196.,stellar,Brenden Mcgrath,"$5,000.00","$33,640.00",14.86%,"$44,251.67",11.30%
197.,Melser,Marco Eliot Machuca Amaro,"$5,000.00","$38,547.55",12.97%,"$38,547.55",12.97%
198.,bang,Sean Bezerra,"$5,000.00","$34,070.00",14.68%,"$34,070.00",14.68%
199.,Derrek,Derrek Ha,"$5,000.00","$33,300.00",15.02%,"$33,300.00",15.02%
200.,blaZek1ng,Gary Dastin,"$5,000.00","$23,261.97",21.49%,"$24,948.43",20.04%
201.,berserx,Rizkie Kusuma,"$5,000.00","$23,042.61",21.70%,"$23,042.61",21.70%
202.,Severine,Michael Winata,"$5,000.00","$14,926.00",33.50%,"$16,126.00",31.01%
203.,Shiro,Hildegard Arnaldo,"$5,000.00","$14,926.00",33.50%,"$14,926.00",33.50%
204.,BerLin,"Zhang, Bolin","$5,000.00","$9,093.76",54.98%,"$9,093.76",54.98%
205.,Daveeys,Santiago Ruiz,"$5,000.00","$8,000.00",62.50%,"$8,000.00",62.50%
206.,JitboyS,Jittana Nokngam,"$5,000.00","$7,695.20",64.98%,"$7,695.20",64.98%
207.,garnetS,Apiwat Apiraksukumal,"$5,000.00","$6,218.32",80.41%,"$6,218.32",80.41%
208.,Yuicaw,"Huang, Yung-Chieh","$5,000.00","$6,100.00",81.97%,"$6,100.00",81.97%
209.,AAAAY,"Zhang, Yang","$5,000.00","$5,038.74",99.23%,"$5,038.74",99.23%
210.,runi,Dylan Cade,"$5,000.00","$5,000.00",100.00%,"$5,000.00",100.00%
211.,TZH,"Tang, Zhehao","$5,000.00","$5,000.00",100.00%,"$5,000.00",100.00%
212.,Hyzee,"Võ, Nhựt Huy","$4,922.00","$13,368.11",36.82%,"$14,087.25",34.94%
213.,LuZ,"Lim, Ui-jun","$4,920.20","$6,815.24",72.19%,"$6,815.24",72.19%
214.,SeliG,"Um, Hyun-sung","$4,920.20","$5,099.13",96.49%,"$5,099.13",96.49%
215.,Dazlly,Mohammed Sultan,"$4,900.00","$8,789.72",55.75%,"$8,789.72",55.75%
216.,ExiT,Abdullah Al-Twaijri,"$4,900.00","$8,464.00",57.89%,"$8,464.00",57.89%
217.,PLEEtS,Marcelo Leite,"$4,853.50","$14,080.78",34.47%,"$14,107.82",34.40%
218.,krain,Gustavo Melara,"$4,853.50","$13,593.43",35.70%,"$13,593.43",35.70%
219.,liazzi,Felipe Galiazzi,"$4,853.50","$12,483.70",38.88%,"$12,483.70",38.88%
220.,flainzz,Felipe Saldanha,"$4,853.50","$6,989.83",69.44%,"$6,989.83",69.44%
221.,pollo,Julio Silva,"$4,853.50","$6,108.69",79.45%,"$6,108.69",79.45%
222.,falltw,Alexandr Chernukhin,"$4,790.84","$11,176.53",42.87%,"$11,176.53",42.87%
223.,neveR,Vsevolod Suslov,"$4,790.84","$4,790.84",100.00%,"$4,790.84",100.00%
224.,Kheops,Mokrani Anis,"$4,758.33","$9,183.33",51.81%,"$17,378.84",27.38%
225.,DVDOV,Abdulrahman Alawadhi,"$4,637.50","$7,196.42",64.44%,"$11,135.34",41.65%
226.,Sunday,"Kim, Min-soo","$4,597.80","$7,221.77",63.67%,"$12,221.77",37.62%
227.,SungJin,"Ko, Sung-jin","$4,597.80","$5,839.12",78.74%,"$5,839.12",78.74%
228.,Askia,Estevão -,"$4,433.00","$4,433.00",100.00%,"$4,433.00",100.00%
229.,Petra,Petra Stoker,"$4,365.08","$50,869.53",8.58%,"$77,522.96",5.63%
230.,mimimicheater,Michaela Lintrup,"$4,365.08","$50,869.53",8.58%,"$76,392.81",5.71%
231.,Glance,Anastasia Anisimova,"$4,365.08","$49,886.73",8.75%,"$49,886.73",8.75%
232.,roxi,Vivian Schilling,"$4,365.08","$18,342.29",23.80%,"$18,428.09",23.69%
233.,wayLander,Jan Rahkonen,"$4,325.33","$8,692.37",49.76%,"$77,714.93",5.57%
234.,NDG,Noel De Guia,"$4,301.99","$4,582.75",93.87%,"$4,582.75",93.87%
235.,LEW,Luis Hibbert,"$4,246.40","$5,851.20",72.57%,"$5,926.20",71.65%
236.,W1nner,"Wei Tsai, Hong","$4,233.33","$11,200.00",37.80%,"$42,881.83",9.87%
237.,ChiaWei,"Zhang, Chiawei","$4,233.33","$4,233.33",100.00%,"$29,536.03",14.33%
238.,RaiNy,"Li, Guo-Shuo","$4,233.33","$13,883.33",30.49%,"$14,997.09",28.23%
239.,XyuS,Shi Guan-yu,"$4,233.33","$4,233.33",100.00%,"$4,233.33",100.00%
240.,xand,Alexandre Zizi,"$4,224.00","$31,403.87",13.45%,"$52,643.41",8.02%
241.,havoc,Ilan Eloy,"$4,180.00","$4,180.00",100.00%,"$4,180.00",100.00%
242.,shion,Gabriel Vilela,"$4,174.00","$13,046.53",31.99%,"$13,046.53",31.99%
243.,artzin,Arthur Araújo,"$4,174.00","$5,127.55",81.40%,"$5,127.55",81.40%
244.,GodDead,"Kim, Sung-sin","$4,166.67","$12,358.41",33.72%,"$12,358.41",33.72%
245.,Sylvan,"Ko, Young-sub","$4,166.67","$11,000.55",37.88%,"$11,000.55",37.88%
